"Well_ID","time_bin","Depth_ft","Latitude","Longitude","DepthClass","Database","Result"
"CDPH1000129","1960-1989",NA,36.81,-119.83,"Deep","CDPH",170.24
"CDPH1000129","1990-2014",NA,36.81,-119.83,"Deep","CDPH",260
"CDPH1000130","1960-1989",NA,36.73,-119.68,"Deep","CDPH",123.2
"CDPH1000130","1990-2014",NA,36.73,-119.68,"Deep","CDPH",171.4
"CDPH1000131","1960-1989",NA,36.81,-119.81,"Deep","CDPH",258.64
"CDPH1000131","1990-2014",NA,36.81,-119.81,"Deep","CDPH",224
"CDPH1000132","1960-1989",NA,36.81,-119.8,"Deep","CDPH",169.92
"CDPH1000132","1990-2014",NA,36.81,-119.8,"Deep","CDPH",147.2
"CDPH1000133","1960-1989",NA,36.82,-119.82,"Deep","CDPH",171.52
"CDPH1000133","1990-2014",NA,36.82,-119.82,"Deep","CDPH",192
"CDPH1000134","1960-1989",NA,36.81,-119.79,"Deep","CDPH",229.34
"CDPH1000134","1990-2014",NA,36.81,-119.79,"Deep","CDPH",185.6
"CDPH1000135","1960-1989",NA,36.82,-119.82,"Deep","CDPH",152
"CDPH1000135","1990-2014",NA,36.82,-119.82,"Deep","CDPH",207.4
"CDPH1000136","1960-1989",NA,36.81,-119.85,"Deep","CDPH",177.6
"CDPH1000136","1990-2014",NA,36.81,-119.85,"Deep","CDPH",224
"CDPH1000137","1960-1989",NA,36.81,-119.85,"Deep","CDPH",163.52
"CDPH1000137","1990-2014",NA,36.81,-119.85,"Deep","CDPH",211.2
"CDPH1000138","1960-1989",NA,36.73,-119.7,"Deep","CDPH",300.8
"CDPH1000138","1990-2014",NA,36.73,-119.7,"Deep","CDPH",339.2
"CDPH1000139","1960-1989",NA,36.83,-119.83,"Deep","CDPH",163.84
"CDPH1000139","1990-2014",NA,36.83,-119.83,"Deep","CDPH",198.4
"CDPH1000140","1960-1989",NA,36.76,-119.78,"Deep","CDPH",208.66
"CDPH1000140","1990-2014",NA,36.76,-119.78,"Deep","CDPH",198.4
"CDPH1000141","1960-1989",NA,36.86,-119.79,"Deep","CDPH",233.4
"CDPH1000141","1990-2014",NA,36.86,-119.79,"Deep","CDPH",174.6
"CDPH1000142","1990-2014",NA,36.77,-119.7,"Deep","CDPH",270
"CDPH1000143","1960-1989",NA,36.81,-119.85,"Deep","CDPH",175.36
"CDPH1000143","1990-2014",NA,36.81,-119.85,"Deep","CDPH",180
"CDPH1000144","1960-1989",NA,36.8,-119.82,"Deep","CDPH",184.08
"CDPH1000144","1990-2014",NA,36.8,-119.82,"Deep","CDPH",102.4
"CDPH1000145","1960-1989",NA,36.78,-119.8,"Deep","CDPH",151.16
"CDPH1000145","1990-2014",NA,36.78,-119.8,"Deep","CDPH",179.2
"CDPH1000146","1960-1989",NA,36.771,-119.82,"Deep","CDPH",161.5
"CDPH1000146","1990-2014",NA,36.771,-119.82,"Deep","CDPH",198.4
"CDPH1000147","1960-1989",NA,36.71,-119.76,"Deep","CDPH",265.28
"CDPH1000147","1990-2014",NA,36.71,-119.76,"Deep","CDPH",236.8
"CDPH1000148","1960-1989",NA,36.81,-119.86,"Deep","CDPH",184.66
"CDPH1000148","1990-2014",NA,36.81,-119.86,"Deep","CDPH",192
"CDPH1000149","1960-1989",NA,36.71,-119.76,"Deep","CDPH",289.76
"CDPH1000149","1990-2014",NA,36.71,-119.76,"Deep","CDPH",259.2
"CDPH1000150","1960-1989",NA,36.78,-119.8,"Deep","CDPH",140.7
"CDPH1000150","1990-2014",NA,36.78,-119.8,"Deep","CDPH",153.6
"CDPH1000151","1960-1989",NA,36.76,-119.84,"Deep","CDPH",170.76
"CDPH1000151","1990-2014",NA,36.76,-119.84,"Deep","CDPH",201
"CDPH1000152","1960-1989",NA,36.78,-119.83,"Deep","CDPH",146.8
"CDPH1000152","1990-2014",NA,36.78,-119.83,"Deep","CDPH",145.4
"CDPH1000153","1960-1989",NA,36.76,-119.78,"Deep","CDPH",145.52
"CDPH1000153","1990-2014",NA,36.76,-119.78,"Deep","CDPH",128
"CDPH1000154","1960-1989",NA,36.8,-119.76,"Deep","CDPH",118.28
